場所,名称,資料ランク,口唇部,口唇部_断面形,口唇部_装飾,口唇部_器面調整,口縁部,口縁部_形状,口縁部_方向,口縁部直下,口縁部_技法,口縁部_技法_沈線_特徴,口縁部_技法_縄文_特徴,口縁部_技法_磨消縄文_縄文,口縁部_技法_磨消縄文_沈線,口縁部_技法_磨消縄文_施文順序,口縁部_技法_磨消縄文_図地,口縁部_器面調整,口縁部_主モチーフ,口縁部_主モチーフ_区画文,口縁部_主モチーフ_曲線文,口縁部_主モチーフ_直線文,口縁部_主モチーフ_特殊文,口縁部_状態_連続・非連続,口縁部_状態_退化,口縁部_列数,口縁部_文様が開放/閉鎖,口縁部_変形,口縁部_主文様同士が並行/対向,口縁部_文様方向,口縁部_主モチーフ内モチーフ,口縁部_主モチーフ内モチーフ_区画文,口縁部_主モチーフ内モチーフ_曲線文,口縁部_主モチーフ内モチーフ_直線文,口縁部_主モチーフ内モチーフ_特殊文,口縁部_間モチーフ,口縁部_間モチーフ_区画文,口縁部_間モチーフ_曲線文,口縁部_直線文,口縁部_特殊文,口縁部_内面モチーフ,内面モチーフの情報,頸部,頸部の傾向,頸部の状態,強調(1)-退化(3),胴部,胴部方向,胴部_技法,胴部_技法_沈線_特徴,胴部_技法_縄文_特徴,胴部_技法_磨消縄文_縄文,胴部_技法_磨消縄文_沈線,胴部_技法_磨消縄文_施文順序,胴部_技法_磨消縄文_図地,胴部_器面調整,胴部_主モチーフ,胴部_主モチーフ_区画文,胴部_主モチーフ_曲線文,胴部_主モチーフ_直線文,胴部_主モチーフ_特殊文,胴部_状態_連続・非連続,胴部_状態_退化,胴部_列数,胴部_文様が開放,胴部_変形,胴部_主文様同士が並行/対向,胴部_文様方向,胴部_主モチーフ内モチーフ,胴部_主モチーフ内モチーフ_区画文,胴部_主モチーフ内モチーフ_曲線文,胴部_主モチーフ内モチーフ_直線文,胴部_主モチーフ内モチーフ_特殊文,胴部_間モチーフ,胴部_間モチーフ_区画文,胴部_間モチーフ_曲線文,胴部_間モチーフ_直線文,胴部_間モチーフ_特殊文,胴部_内面モチーフ,胴部_内面モチーフの情報,上端連繋,下端連繋,横位連繫線
Kaku_SK3,23,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,直立,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,不明,ミガキ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,不明,なし,該当せず,不明,なし,該当せず,不明,なし,,,,,なし,,,,,なし,,不明,不明,不明
Kaku_SK3,25,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,不明,ミガキ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,不明,不明,不明
Kaku_SK3,24,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,RL,両方なし,沈線→縄文→沈線,図が縄文,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,不明,なし,該当せず,不明,なし,該当せず,不明,なし,,,,,なし,,,,,なし,,不明,不明,不明
Kaku_SK3,21,3,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,連続,なし,該当せず,閉鎖,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,不明,連繋有_磨消縄文,なし
Kaku_SK3,31,1,あり,平坦,なし,ナデ,あり,緩やかな波状,内彎,無文,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaku_SK3,26,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,不明,細い沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,不明,不明,不明
Kaku_SK3,27,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,外反,"幅広の沈線, 隆帯",両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:その他,,,,,,,,,,,,,,,,,,,,,,,,不明,不明,不明
Kaku_SK3,28,1,あり,丸み_直立,なし,ナデ,あり,水平,内彎,無文,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaku_SK3,29,1,あり,丸み_直立,なし,ナデ,あり,水平,不明,無文,幅広の沈線,"内面突出, 反復ナゾリ",縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaku_SK3,30,1,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なし,,,,あり,内彎,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,不明,不明,ナデ,曲線文,区画文でない,横に長いJ字文,直線文でない,特殊文でない,不明,なし,該当せず,不明,なし,該当せず,不明,なし,,,,,なし,,,,,なし,,不明,不明,不明
