場所,名称,資料ランク,口唇部,口唇部_断面形,口唇部_装飾,口唇部_器面調整,口縁部,口縁部_形状,口縁部_方向,口縁部直下,口縁部_技法,口縁部_技法_沈線_特徴,口縁部_技法_縄文_特徴,口縁部_技法_磨消縄文_縄文,口縁部_技法_磨消縄文_沈線,口縁部_技法_磨消縄文_施文順序,口縁部_技法_磨消縄文_図地,口縁部_器面調整,口縁部_主モチーフ,口縁部_主モチーフ_区画文,口縁部_主モチーフ_曲線文,口縁部_主モチーフ_直線文,口縁部_主モチーフ_特殊文,口縁部_状態_連続・非連続,口縁部_状態_退化,口縁部_列数,口縁部_文様が開放/閉鎖,口縁部_変形,口縁部_主文様同士が並行/対向,口縁部_文様方向,口縁部_主モチーフ内モチーフ,口縁部_主モチーフ内モチーフ_区画文,口縁部_主モチーフ内モチーフ_曲線文,口縁部_主モチーフ内モチーフ_直線文,口縁部_主モチーフ内モチーフ_特殊文,口縁部_間モチーフ,口縁部_間モチーフ_区画文,口縁部_間モチーフ_曲線文,口縁部_直線文,口縁部_特殊文,口縁部_内面モチーフ,内面モチーフの情報,頸部,頸部の傾向,頸部の状態,強調(1)-退化(3),胴部,胴部方向,胴部_技法,胴部_技法_沈線_特徴,胴部_技法_縄文_特徴,胴部_技法_磨消縄文_縄文,胴部_技法_磨消縄文_沈線,胴部_技法_磨消縄文_施文順序,胴部_技法_磨消縄文_図地,胴部_器面調整,胴部_主モチーフ,胴部_主モチーフ_区画文,胴部_主モチーフ_曲線文,胴部_主モチーフ_直線文,胴部_主モチーフ_特殊文,胴部_状態_連続・非連続,胴部_状態_退化,胴部_列数,胴部_文様が開放,胴部_変形,胴部_主文様同士が並行/対向,胴部_文様方向,胴部_主モチーフ内モチーフ,胴部_主モチーフ内モチーフ_区画文,胴部_主モチーフ内モチーフ_曲線文,胴部_主モチーフ内モチーフ_直線文,胴部_主モチーフ内モチーフ_特殊文,胴部_間モチーフ,胴部_間モチーフ_区画文,胴部_間モチーフ_曲線文,胴部_間モチーフ_直線文,胴部_間モチーフ_特殊文,胴部_内面モチーフ,胴部_内面モチーフの情報,上端連繋,下端連繋,横位連繫線
Shimocha,27,2,あり,丸み_直立,刻目,なし,あり,水平,外反,縄文,縄文,沈線を持たない,RL,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,なし,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,分離,段・肥厚_外面,1,あり,くびれ,"幅広の沈線, 磨消縄文",両方なし,縄文を持たない,RL,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ミガキ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,あり,区画文でない,波状文,直線文でない,特殊文でない,なし,,連繋なし,不明,なし
Shimocha,28,2,あり,丸み_直立,なし,なし,あり,緩やかな波状,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ミガキ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,あり,区画文でない,連弧文,直線文でない,特殊文でない,なし,,あり,一体化,段・肥厚_外面,2,あり,くびれ,磨消縄文,沈線を持たない,縄文を持たない,不明,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,29,1,あり,丸み_直立,なし,ナデ,あり,緩やかな波状,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,RL,"内面突出, 反復ナゾリ",沈線→縄文→沈線,不明,ナデ,曲線文,区画文でない,連弧文,直線文でない,特殊文でない,該当せず,なし,3,該当せず,なし,並行,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,2,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,30,2,あり,傾き_内面,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,あり,楕円形,曲線文でない,直線文でない,突起,あり,,あり,一体化,段・肥厚_外面,2,あり,外反,縄文,沈線を持たない,不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,31,2,あり,丸み_直立,刻目,ミガキ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が空白,ミガキ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,2,該当せず,なし,並行,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,1,あり,直立,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,不明,図が縄文,ミガキ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,32,1,あり,平坦,縄文,ミガキ,あり,緩やかな波状,内彎,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,縄文→沈線→磨り消し→沈線,図が空白,ミガキ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,2,閉鎖,あり,対向,横,なし,,,,,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,あり,一体化,段・肥厚_外面,2,あり,不明,幅広の沈線,"内面突出, 反復ナゾリ",縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,33,2,あり,平坦,縄文,ナデ,あり,緩やかな波状,直立,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,両方なし,沈線→縄文→沈線,図が空白,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,2,該当せず,なし,並行,横,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,34,2,あり,丸み_直立,縄文,ナデ,あり,緩やかな波状,外反,無文,"細い沈線, 縄文",反復ナゾリ,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,直線文,区画文でない,曲線文でない,三角文,特殊文でない,連続,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,"段・肥厚_外面, 文様_縄文",2,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,RL,両方なし,沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,不明
Shimocha,35,1,あり,平坦,縄文,ナデ,あり,水平,外反,無文,"幅広の沈線, 縄文",両方なし,不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,楕円形,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,2,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,36,1,あり,尖り_外面,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",縄文→沈線→磨り消し→沈線,すべて縄文,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,2,該当せず,なし,並行,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,37,2,あり,平坦,刻目,ナデ,あり,緩やかな波状,外反,条痕,"幅広の沈線, 刺突_円形, 条痕",反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,非常に多い,閉鎖,なし,対向,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,あり,区画文でない,波状文,直線文でない,特殊文でない,なし,,あり,一体化,文様_その他,3,あり,外反,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,38,1,あり,丸み_内面,なし,ナデ,あり,緩やかな波状,外反,縄文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,曲線文,区画文でない,波状文,直線文でない,特殊文でない,非連続,なし,該当せず,該当せず,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,外反,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,39,1,あり,尖り_直立,なし,なし,あり,水平,外反,無文,"幅広の沈線, 縄文",両方なし,不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,文様_縄文,3,あり,外反,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,40,1,あり,丸み_直立,なし,ナデ,あり,水平,外反,縄文,"幅広の沈線, 刺突_円形, 縄文",両方なし,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,直線文,区画文でない,曲線文でない,縦位線,特殊文でない,連続,なし,2,該当せず,なし,並行,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,なし,,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,41,1,あり,丸み_直立,縄文,ミガキ,あり,緩やかな波状,外反,縄文,"幅広の沈線, 刺突_円形, 磨消縄文",両方なし,縄文を持たない,不明,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ミガキ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,2,閉鎖,あり,対向,横,なし,,,,,あり,楕円形,曲線文でない,直線文でない,刺突文,なし,,あり,一体化,段・肥厚_外面,2,あり,不明,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,42,1,あり,傾き_内面,縄文,ナデ,あり,水平,内彎,縄文,"刺突_円形, 磨消縄文",沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,不明,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,あり,一体化,段・肥厚_外面,3,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,43,1,あり,平坦,"沈線, 縄文",ナデ,あり,水平,内彎,縄文,"刺突_円形, 磨消縄文",沈線を持たない,縄文を持たない,不明,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,あり,一体化,段・肥厚_外面,2,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,44,1,あり,平坦,縄文,ミガキ,あり,水平,内彎,縄文,"刺突_円形, 磨消縄文",沈線を持たない,縄文を持たない,不明,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ミガキ,区画文,楕円形,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,あり,一体化,段・肥厚_外面,2,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimocha,45,2,あり,丸み_直立,沈線,ナデ,あり,緩やかな波状,直立,縄文,"刺突_円形, 縄文",沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,刺突文,該当せず,なし,複数,該当せず,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,くびれ,縄文,沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,46,2,あり,平坦,縄文,ミガキ,あり,水平,内彎,縄文,"刺突_円形, 磨消縄文",沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が空白,ミガキ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,あり,一体化,段・肥厚_外面,3,あり,不明,縄文,沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,モチーフ不明:その他,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,47,1,あり,平坦,縄文,ナデ,あり,水平,外反,縄文,"刺突_円形, 縄文",沈線を持たない,不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,刺突文,該当せず,なし,該当せず,該当せず,なし,該当せず,不明,なし,,,,,なし,,,,,なし,,あり,一体化,隆帯,2,あり,不明,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,26,2,あり,丸み_直立,縄文,ナデ,あり,水平,外反,縄文,縄文,沈線を持たない,不明,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,一体化,隆帯,3,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,25,1,あり,傾き_内面,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,縄文→沈線→磨り消し→沈線,すべて縄文,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,2,該当せず,なし,並行,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,2,あり,不明,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,24,1,あり,尖り_直立,縄文,ナデ,あり,水平,外反,縄文,縄文,沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,一体化,段・肥厚_外面,3,あり,外反,磨消縄文,沈線を持たない,縄文を持たない,LR,"内面突出, 反復ナゾリ",沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,なし
Shimocha,23,2,あり,平坦,縄文,ミガキ,あり,水平,外反,縄文,縄文,沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,一体化,段・肥厚_外面,1,あり,くびれ,"幅広の沈線, 刺突_円形, 磨消縄文",反復ナゾリ,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ミガキ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,該当せず,なし,該当せず,縦,あり,区画文でない,曲線文でない,直線文でない,刺突文,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,22,2,あり,丸み_直立,縄文,ナデ,あり,水平,外反,無文,"細い沈線, 幅広の沈線",両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,あり,区画文でない,曲線文でない,横位線,特殊文でない,なし,,あり,一体化,"隆帯, 文様_沈線",3,あり,不明,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,21,1,あり,丸み_直立,縄文,ナデ,あり,水平,外反,無文,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,一体化,"隆帯, 文様_その他",3,あり,不明,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,20,2,あり,平坦,縄文,ミガキ,あり,水平,外反,縄文,縄文,沈線を持たない,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,無文,,,,,,,,,,,,,,,,,,,,,,,,あり,分離,段・肥厚_外面,2,あり,直立,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が縄文,ミガキ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,19,1,あり,平坦,縄文,ナデ,あり,緩やかな波状,外反,無文,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,該当せず,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,18,1,あり,平坦,縄文,ナデ,あり,水平,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,縄文→沈線→磨り消し→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,不明,幅広の沈線,反復ナゾリ,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,モチーフ不明:沈線,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,17,1,あり,傾き_内面,縄文,ナデ,あり,水平,内彎,無文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,同化,,,あり,直立,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,16,1,あり,傾き_内面,縄文,ナデ,あり,水平,外反,無文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,直線文,区画文でない,曲線文でない,横位線,特殊文でない,連続,なし,1,該当せず,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,段・肥厚_外面,2,あり,不明,無文,沈線を持たない,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,無文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,連繋なし,なし
Shimocha,15,2,あり,平坦,縄文,ミガキ,あり,緩やかな波状,外反,無文,"幅広の沈線, 縄文",両方なし,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ミガキ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,"段・肥厚_外面, 文様_縄文",2,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,RL,反復ナゾリ,沈線→縄文→沈線,図が縄文,ミガキ,モチーフ不明:磨消縄文,,,,,,,,,,,,,,,,,,,,,,,,連繋なし,不明,不明
Shimocha,14,2,あり,傾き_内面,縄文,ナデ,あり,水平,外反,無文,"幅広の沈線, 縄文",反復ナゾリ,LR,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,なし,該当せず,横,なし,,,,,なし,,,,,なし,,あり,分離,"隆帯, 文様_縄文",2,あり,外反,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,13,1,あり,丸み_直立,縄文,ナデ,あり,緩やかな波状,外反,縄文,磨消縄文,沈線を持たない,縄文を持たない,LR,両方なし,沈線→縄文→沈線,すべて縄文,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,なし,,,,,なし,,,,,なし,,あり,一体化,隆帯,3,あり,直立,磨消縄文,沈線を持たない,縄文を持たない,LR,反復ナゾリ,沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,12,2,あり,丸み_直立,なし,ナデ,あり,緩やかな波状,外反,縄文,"幅広の沈線, 磨消縄文",沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が空白,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,,,,なし,,あり,一体化,"隆帯, 文様_縄文",2,あり,不明,磨消縄文,沈線を持たない,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,閉鎖,なし,該当せず,縦,なし,,,,,なし,,,,,なし,,連繋なし,不明,なし
Shimocha,11,2,あり,丸み_直立,なし,なし,あり,緩やかな波状,外反,無文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,,,,なし,,あり,一体化,段・肥厚_外面,3,あり,外反,"幅広の沈線, 磨消縄文",両方なし,縄文を持たない,不明,両方なし,沈線→縄文→沈線,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,不明,なし,該当せず,縦,なし,,,,,あり,区画文でない,横に長いJ字文,直線文でない,特殊文でない,なし,,連繋なし,不明,なし
Shimocha,10,3,あり,丸み_直立,なし,なし,あり,緩やかな波状,外反,無文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,該当せず,あり,該当せず,横,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,,,,なし,,あり,一体化,隆帯,3,あり,くびれ,"幅広の沈線, 磨消縄文",両方なし,縄文を持たない,RL,両方なし,不明,図が縄文,ナデ,特殊文,区画文でない,曲線文でない,直線文でない,紡錘文,非連続,なし,該当せず,閉鎖,なし,該当せず,縦,なし,,,,,あり,波状,曲線文でない,直線文でない,特殊文でない,なし,,連繋なし,連繋なし,なし
Shimocha,9,1,あり,丸み_内面,なし,なし,あり,緩やかな波状,内彎,無文,幅広の沈線,両方なし,縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,磨消縄文を持たない,ナデ,区画文,方形・窓枠状,曲線文でない,直線文でない,特殊文でない,該当せず,なし,該当せず,閉鎖,あり,該当せず,横,あり,楕円形,曲線文でない,直線文でない,特殊文でない,なし,,,,,なし,,あり,一体化,隆帯,3,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
